"島根県","10","0.26","23","1.00","8","0.35","27","1.17","77","3.35","2","0.09","63","2.74","1","0.04","11","0.48","3","0.13","4","0.17","-","-","2","0.67","-","-","-","-","1","0.13","-","-","-","-"
"岡山県","4","0.05","39","0.72","7","0.13","47","0.87","223","4.13","19","0.35","27","0.50","2","0.04","12","0.22","26","0.48","5","0.09","-","-","13","1.08","-","-","-","-","1","0.20","-","-","-","-"
"広島県","17","0.15","89","1.24","20","0.28","77","1.07","262","3.64","8","0.11","73","1.01","6","0.08","20","0.28","27","0.38","10","0.14","-","-","12","0.63","-","-","-","-","6","0.29","-","-","-","-"
"山口県","2","0.03","85","1.81","7","0.15","70","1.49","147","3.13","6","0.13","44","0.94","3","0.06","24","0.51","14","0.30","2","0.04","2","0.22","7","0.78","-","-","-","-","1","0.11","-","-","-","-"
"徳島県","-","-","40","1.74","8","0.35","15","0.65","68","2.96","-","-","9","0.39","3","0.13","25","1.09","22","0.96","1","0.04","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"香川県","2","0.04","46","1.64","10","0.36","24","0.86","83","2.96","5","0.18","27","0.96","1","0.04","11","0.39","58","2.07","2","0.07","-","-","5","1.00","-","-","-","-","-","-","-","-","-","-"
"愛媛県","2","0.04","50","1.35","3","0.08","55","1.49","118","3.19","11","0.30","85","2.30","2","0.05","21","0.57","20","0.54","6","0.16","-","-","7","0.88","-","-","-","-","10","1.67","-","-","-","-"
"高知県","1","0.02","77","2.57","11","0.37","22","0.73","45","1.50","5","0.17","23","0.77","7","0.23","11","0.37","20","0.67","-","-","-","-","1","0.33","-","-","-","-","2","0.25","1","0.13","-","-"
"福岡県","31","0.16","137","1.14","65","0.54","217","1.81","578","4.82","21","0.18","130","1.08","30","0.25","70","0.58","96","0.80","25","0.21","-","-","30","1.15","-","-","1","0.07","1","0.07","-","-","-","-"
"佐賀県","2","0.05","47","2.04","10","0.43","14","0.61","49","2.13","4","0.17","8","0.35","-","-","11","0.48","14","0.61","2","0.09","-","-","2","0.50","-","-","2","0.33","1","0.17","-","-","-","-"
"長崎県","-","-","22","0.50","12","0.27","45","1.02","103","2.34","14","0.32","21","0.48","6","0.14","15","0.34","9","0.20","4","0.09","-","-","3","0.38","-","-","1","0.08","2","0.17","-","-","-","-"
"熊本県","28","0.35","94","1.88","16","0.32","52","1.04","245","4.90","6","0.12","34","0.68","-","-","36","0.72","34","0.68","5","0.10","-","-","25","2.78","-","-","-","-","1","0.07","-","-","-","-"
"大分県","4","0.07","20","0.56","28","0.78","33","0.92","192","5.33","18","0.50","34","0.94","-","-","17","0.47","44","1.22","20","0.56","1","0.20","10","2.00","-","-","-","-","3","0.27","-","-","-","-"
"宮崎県","1","0.02","55","1.57","18","0.51","65","1.86","301","8.60","14","0.40","44","1.26","4","0.11","25","0.71","37","1.06","13","0.37","-","-","23","3.83","-","-","-","-","-","-","-","-","1","0.14"
"鹿児島県","1","0.01","42","0.78","30","0.56","89","1.65","249","4.61","15","0.28","14","0.26","6","0.11","27","0.50","98","1.81","7","0.13","-","-","16","2.29","-","-","-","-","-","-","-","-","-","-"
"沖縄県","79","1.36","8","0.24","7","0.21","33","0.97","123","3.62","16","0.47","92","2.71","3","0.09","14","0.41","5","0.15","5","0.15","-","-","30","3.33","-","-","3","0.43","1","0.14","-","-","1","0.14"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
