"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016年38週(09月19日～09月25日)","2016年09月28日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","百日咳","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","569","0.12","4204","","777","0.25","3771","1.20","9247","2.94","805","0.26","2471","0.79","312","0.10","1375","0.44","50","0.02","2756","0.88","2936","0.94","9","0.01","573","0.83","12","0.03","34","0.07","399","0.84","7","0.01","5","0.01"
"北海道","-","-","182","","16","0.11","263","1.85","131","0.92","29","0.20","66","0.46","6","0.04","33","0.23","1","0.01","384","2.70","89","0.63","1","0.04","16","0.57","1","0.04","1","0.04","35","1.52","-","-","-","-"
"青森県","-","-","55","","2","0.05","28","0.67","68","1.62","8","0.19","12","0.29","7","0.17","17","0.40","-","-","66","1.57","12","0.29","-","-","5","0.45","1","0.17","-","-","12","2.00","-","-","1","0.17"
"岩手県","-","-","74","","15","0.38","80","2.00","71","1.78","1","0.03","17","0.43","1","0.03","14","0.35","-","-","75","1.88","7","0.18","-","-","5","0.36","1","0.05","-","-","13","0.68","-","-","1","0.05"
"宮城県","3","0.03","138","","5","0.08","59","1.00","102","1.73","12","0.20","182","3.08","1","0.02","28","0.47","1","0.02","237","4.02","17","0.29","-","-","2","0.17","1","0.08","2","0.17","16","1.33","-","-","-","-"
"秋田県","-","-","27","","3","0.09","41","1.17","45","1.29","4","0.11","13","0.37","1","0.03","6","0.17","-","-","57","1.63","6","0.17","-","-","1","0.14","-","-","-","-","8","1.00","-","-","-","-"
"山形県","-","-","87","","3","0.10","65","2.24","42","1.45","2","0.07","11","0.38","3","0.10","12","0.41","-","-","111","3.83","33","1.14","-","-","-","-","-","-","-","-","1","0.10","-","-","-","-"
"福島県","-","-","87","","7","0.15","44","0.96","52","1.13","4","0.09","25","0.54","6","0.13","25","0.54","7","0.15","102","2.22","10","0.22","-","-","8","0.67","-","-","1","0.14","16","2.29","-","-","-","-"
"茨城県","17","0.14","97","","7","0.09","80","1.07","234","3.12","14","0.19","120","1.60","1","0.01","32","0.43","3","0.04","40","0.53","24","0.32","1","0.06","12","0.71","-","-","1","0.08","9","0.69","-","-","-","-"
"栃木県","12","0.16","76","","2","0.04","26","0.54","37","0.77","13","0.27","40","0.83","8","0.17","26","0.54","-","-","60","1.25","20","0.42","-","-","22","1.83","-","-","-","-","4","0.57","1","0.14","-","-"
"群馬県","6","0.06","98","","8","0.14","70","1.21","138","2.38","19","0.33","19","0.33","6","0.10","23","0.40","1","0.02","59","1.02","46","0.79","-","-","12","0.86","-","-","1","0.13","17","2.13","-","-","-","-"
"埼玉県","10","0.04","243","","23","0.15","232","1.49","492","3.15","37","0.24","135","0.87","6","0.04","75","0.48","2","0.01","109","0.70","134","0.86","1","0.02","21","0.51","-","-","2","0.20","5","0.50","1","0.10","-","-"
"千葉県","21","0.10","227","","18","0.13","246","1.82","286","2.12","38","0.28","254","1.88","10","0.07","42","0.31","3","0.02","135","1.00","49","0.36","-","-","23","0.68","-","-","2","0.22","10","1.11","-","-","-","-"
"東京都","39","0.10","511","","50","0.19","304","1.18","941","3.66","77","0.30","328","1.28","19","0.07","136","0.53","3","0.01","239","0.93","185","0.72","-","-","19","0.49","1","0.04","3","0.12","23","0.92","-","-","-","-"
