"石川県","140","2.92","2","","23","0.79","127","4.38","175","6.03","60","2.07","6","0.21","1","0.03","19","0.66","-","-","-","-","7","0.24","-","-","2","0.29","-","-","-","-","4","0.80","-","-"
"福井県","108","3.38","3","","19","0.86","72","3.27","211","9.59","38","1.73","-","-","-","-","9","0.41","-","-","2","0.09","18","0.82","-","-","1","0.33","-","-","-","-","-","-","-","-"
"山梨県","95","2.38","-","","11","0.46","55","2.29","182","7.58","30","1.25","11","0.46","3","0.13","10","0.42","-","-","1","0.04","2","0.08","-","-","2","0.22","-","-","-","-","1","0.10","-","-"
"長野県","167","1.92","1","","3","0.06","133","2.46","646","11.96","81","1.50","2","0.04","3","0.06","31","0.57","-","-","2","0.04","3","0.06","-","-","6","0.55","-","-","-","-","11","1.00","-","-"
"岐阜県","259","2.98","3","","27","0.51","40","0.75","289","5.45","39","0.74","2","0.04","4","0.08","20","0.38","-","-","-","-","12","0.23","-","-","2","0.18","-","-","-","-","1","0.20","-","-"
"静岡県","195","1.40","12","","60","0.67","119","1.34","623","7.00","107","1.20","34","0.38","2","0.02","57","0.64","-","-","1","0.01","14","0.16","-","-","15","0.68","-","-","3","0.30","3","0.30","3","0.30"
"愛知県","369","1.89","32","","60","0.33","190","1.05","1175","6.49","205","1.13","32","0.18","5","0.03","101","0.56","1","0.01","2","0.01","52","0.29","-","-","5","0.15","-","-","-","-","3","0.23","-","-"
"三重県","161","2.24","4","","14","0.31","43","0.96","469","10.42","44","0.98","23","0.51","2","0.04","34","0.76","-","-","1","0.02","6","0.13","1","0.08","2","0.17","-","-","-","-","1","0.11","1","0.11"
"滋賀県","87","1.64","1","","25","0.78","34","1.06","286","8.94","44","1.38","12","0.38","1","0.03","12","0.38","-","-","13","0.41","3","0.09","1","0.13","4","0.50","-","-","-","-","2","0.29","-","-"
"京都府","227","1.86","5","","14","0.19","87","1.18","445","6.01","97","1.31","12","0.16","1","0.01","31","0.42","-","-","4","0.05","17","0.23","-","-","16","0.89","-","-","-","-","-","-","-","-"
"大阪府","638","2.08","29","","111","0.56","364","1.83","1976","9.93","266","1.34","59","0.30","6","0.03","118","0.59","3","0.02","17","0.09","31","0.16","2","0.04","24","0.46","-","-","-","-","3","0.18","-","-"
"兵庫県","351","1.76","10","","56","0.43","141","1.09","1269","9.84","188","1.46","16","0.12","12","0.09","71","0.55","2","0.02","1","0.01","16","0.12","-","-","12","0.34","-","-","1","0.09","8","0.73","-","-"
"奈良県","76","1.38","3","","16","0.46","44","1.26","225","6.43","44","1.26","7","0.20","1","0.03","14","0.40","-","-","-","-","3","0.09","2","0.22","6","0.67","-","-","1","0.17","1","0.17","-","-"
"和歌山県","70","1.40","1","","4","0.13","20","0.65","165","5.32","50","1.61","-","-","-","-","11","0.35","-","-","-","-","-","-","-","-","3","0.75","-","-","-","-","8","0.73","1","0.09"
"鳥取県","59","2.03","3","","4","0.21","74","3.89","197","10.37","38","2.00","14","0.74","1","0.05","9","0.47","-","-","-","-","-","-","-","-","2","0.67","-","-","2","0.40","2","0.40","-","-"
"島根県","90","2.37","2","","7","0.30","18","0.78","307","13.35","47","2.04","75","3.26","-","-","21","0.91","-","-","4","0.17","1","0.04","-","-","-","-","-","-","-","-","4","0.50","-","-"
"岡山県","136","1.62","4","","13","0.24","35","0.65","655","12.13","96","1.78","2","0.04","3","0.06","30","0.56","-","-","12","0.22","9","0.17","11","0.92","1","0.08","-","-","-","-","3","0.60","-","-"
"広島県","126","1.10","14","","43","0.60","95","1.32","799","11.10","92","1.28","42","0.58","5","0.07","45","0.63","2","0.03","9","0.13","27","0.38","-","-","14","0.74","-","-","-","-","1","0.05","-","-"
"山口県","246","3.62","7","","13","0.28","119","2.53","380","8.09","115","2.45","19","0.40","-","-","43","0.91","-","-","14","0.30","4","0.09","-","-","5","0.56","-","-","-","-","2","0.22","-","-"
"徳島県","22","0.59","3","","11","0.48","20","0.87","180","7.83","28","1.22","1","0.04","-","-","14","0.61","-","-","-","-","7","0.30","-","-","1","0.25","-","-","1","0.20","-","-","-","-"
"香川県","56","1.14","-","","19","0.63","62","2.07","209","6.97","29","0.97","3","0.10","1","0.03","16","0.53","-","-","1","0.03","4","0.13","-","-","-","-","-","-","-","-","-","-","-","-"
"愛媛県","189","3.10","9","","8","0.22","59","1.59","456","12.32","120","3.24","2","0.05","3","0.08","39","1.05","-","-","-","-","13","0.35","-","-","17","2.13","-","-","-","-","5","0.83","-","-"
"高知県","31","0.65","1","","4","0.13","18","0.60","178","5.93","52","1.73","3","0.10","1","0.03","11","0.37","1","0.03","1","0.03","7","0.23","-","-","2","0.67","-","-","-","-","5","0.63","-","-"
"福岡県","837","4.25","23","","93","0.78","182","1.52","847","7.06","375","3.13","304","2.53","8","0.07","104","0.87","1","0.01","24","0.20","60","0.50","-","-","14","0.54","-","-","-","-","1","0.08","-","-"
"佐賀県","147","3.77","3","","51","2.22","39","1.70","128","5.57","36","1.57","28","1.22","-","-","16","0.70","-","-","8","0.35","14","0.61","-","-","-","-","-","-","-","-","6","1.00","-","-"
"長崎県","252","3.60","2","","12","0.27","46","1.05","221","5.02","68","1.55","16","0.36","-","-","22","0.50","-","-","10","0.23","32","0.73","2","0.25","3","0.38","1","0.08","-","-","3","0.25","-","-"
"熊本県","270","3.38","-","","18","0.36","98","1.96","361","7.22","96","1.92","54","1.08","4","0.08","55","1.10","-","-","10","0.20","4","0.08","-","-","15","1.67","-","-","1","0.07","3","0.20","1","0.07"
"大分県","230","3.97","2","","13","0.36","52","1.44","664","18.44","75","2.08","8","0.22","4","0.11","34","0.94","2","0.06","6","0.17","19","0.53","-","-","-","-","-","-","1","0.09","4","0.36","-","-"
"宮崎県","390","6.61","14","","34","0.94","71","1.97","296","8.22","117","3.25","4","0.11","1","0.03","40","1.11","-","-","1","0.03","12","0.33","1","0.17","5","0.83","-","-","-","-","-","-","-","-"
"鹿児島県","304","3.27","24","","51","0.93","74","1.35","373","6.78","140","2.55","13","0.24","-","-","31","0.56","-","-","8","0.15","18","0.33","-","-","3","0.43","-","-","2","0.17","3","0.25","1","0.08"
"沖縄県","190","3.28","37","","9","0.26","23","0.68","100","2.94","110","3.24","134","3.94","1","0.03","7","0.21","1","0.03","10","0.29","11","0.32","1","0.10","28","2.80","2","0.29","1","0.14","11","1.57","-","-"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
