"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015年21週(05月18日～05月24日)","2015年05月27日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","百日咳","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","2498","0.51","321","","2006","0.64","10717","3.40","22070","7.00","1271","0.40","5255","1.67","2341","0.74","2094","0.66","53","0.02","989","0.31","1345","0.43","11","0.02","399","0.58","8","0.02","12","0.03","124","0.26","8","0.02","163","0.35"
"北海道","177","0.78","22","","121","0.85","653","4.57","866","6.06","56","0.39","49","0.34","112","0.78","57","0.40","7","0.05","4","0.03","83","0.58","-","-","5","0.18","-","-","1","0.04","7","0.30","-","-","23","1.00"
"青森県","34","0.52","6","","21","0.50","68","1.62","181","4.31","13","0.31","29","0.69","30","0.71","20","0.48","-","-","-","-","4","0.10","-","-","5","0.45","-","-","-","-","4","0.67","-","-","7","1.17"
"岩手県","102","1.57","2","","11","0.28","180","4.50","285","7.13","12","0.30","15","0.38","7","0.18","20","0.50","1","0.03","15","0.38","5","0.13","-","-","4","0.29","-","-","-","-","8","0.42","-","-","2","0.11"
"宮城県","58","0.61","4","","67","1.14","212","3.59","588","9.97","32","0.54","43","0.73","42","0.71","46","0.78","-","-","1","0.02","8","0.14","-","-","4","0.33","-","-","-","-","11","0.92","-","-","1","0.08"
"秋田県","70","1.32","-","","16","0.47","81","2.38","117","3.44","10","0.29","4","0.12","5","0.15","5","0.15","-","-","7","0.21","5","0.15","-","-","3","0.43","-","-","-","-","2","0.25","-","-","4","0.50"
"山形県","115","2.40","2","","29","0.97","155","5.17","455","15.17","14","0.47","49","1.63","22","0.73","29","0.97","1","0.03","1","0.03","17","0.57","-","-","-","-","-","-","-","-","1","0.10","1","0.10","4","0.40"
"福島県","63","0.82","6","","30","0.65","149","3.24","326","7.09","10","0.22","53","1.15","90","1.96","36","0.78","-","-","9","0.20","29","0.63","-","-","6","0.50","-","-","-","-","2","0.29","-","-","4","0.57"
"茨城県","10","0.08","2","","40","0.53","243","3.24","441","5.88","33","0.44","24","0.32","53","0.71","32","0.43","-","-","11","0.15","30","0.40","-","-","22","1.29","2","0.15","-","-","-","-","-","-","-","-"
"栃木県","32","0.42","3","","13","0.27","149","3.10","127","2.65","14","0.29","54","1.13","42","0.88","31","0.65","4","0.08","1","0.02","12","0.25","1","0.08","5","0.42","-","-","-","-","5","0.71","-","-","1","0.14"
"群馬県","31","0.32","-","","29","0.48","221","3.68","397","6.62","15","0.25","104","1.73","58","0.97","37","0.62","1","0.02","7","0.12","30","0.50","-","-","26","1.86","-","-","-","-","2","0.25","-","-","2","0.25"
"埼玉県","37","0.15","4","","140","0.88","675","4.22","1313","8.21","99","0.62","187","1.17","255","1.59","127","0.79","2","0.01","21","0.13","143","0.89","1","0.02","32","0.78","-","-","-","-","3","0.30","2","0.20","4","0.40"
"千葉県","68","0.33","7","","97","0.72","451","3.37","730","5.45","67","0.50","45","0.34","133","0.99","87","0.65","1","0.01","16","0.12","83","0.62","1","0.03","25","0.76","-","-","1","0.11","4","0.44","-","-","-","-"
"東京都","52","0.13","18","","183","0.70","1070","4.12","1882","7.24","127","0.49","148","0.57","290","1.12","209","0.80","4","0.02","50","0.19","74","0.28","-","-","11","0.28","2","0.08","-","-","5","0.20","-","-","4","0.16"
"神奈川県","29","0.09","3","","97","0.47","633","3.06","1108","5.35","89","0.43","180","0.87","182","0.88","159","0.77","2","0.01","28","0.14","56","0.27","5","0.11","42","0.89","-","-","-","-","2","0.22","-","-","2","0.22"
"新潟県","40","0.43","9","","99","1.68","240","4.07","495","8.39","18","0.31","34","0.58","27","0.46","48","0.81","1","0.02","3","0.05","13","0.22","-","-","8","0.80","-","-","-","-","-","-","3","0.23","-","-"
"富山県","26","0.54","1","","22","0.76","64","2.21","258","8.90","31","1.07","31","1.07","7","0.24","12","0.41","-","-","8","0.28","8","0.28","-","-","2","0.29","-","-","-","-","7","1.40","-","-","1","0.20"
"石川県","61","1.27","2","","16","0.55","103","3.55","288","9.93","10","0.34","12","0.41","24","0.83","11","0.38","-","-","7","0.24","51","1.76","-","-","1","0.14","1","0.20","-","-","1","0.20","-","-","4","0.80"
"福井県","46","1.44","3","","16","0.73","59","2.68","294","13.36","1","0.05","39","1.77","1","0.05","14","0.64","-","-","1","0.05","11","0.50","-","-","1","0.33","-","-","1","0.17","-","-","-","-","14","2.33"
"山梨県","7","0.18","-","","4","0.17","63","2.63","127","5.29","13","0.54","18","0.75","14","0.58","10","0.42","1","0.04","1","0.04","3","0.13","-","-","3","0.33","-","-","1","0.10","3","0.30","-","-","1","0.10"
"長野県","99","1.14","4","","12","0.22","212","3.93","387","7.17","17","0.31","15","0.28","49","0.91","25","0.46","1","0.02","1","0.02","2","0.04","-","-","4","0.36","-","-","-","-","5","0.45","-","-","6","0.55"
"岐阜県","23","0.26","3","","23","0.43","104","1.96","257","4.85","5","0.09","20","0.38","38","0.72","19","0.36","-","-","57","1.08","5","0.09","-","-","-","-","-","-","-","-","1","0.20","-","-","10","2.00"
"静岡県","55","0.40","4","","63","0.71","360","4.04","430","4.83","24","0.27","81","0.91","80","0.90","48","0.54","1","0.01","15","0.17","20","0.22","-","-","2","0.09","-","-","1","0.10","2","0.20","-","-","-","-"
"愛知県","69","0.35","2","","94","0.52","494","2.73","1164","6.43","45","0.25","94","0.52","63","0.35","108","0.60","1","0.01","74","0.41","61","0.34","-","-","13","0.38","-","-","-","-","3","0.21","-","-","18","1.29"
"三重県","35","0.49","-","","39","0.87","117","2.60","276","6.13","17","0.38","74","1.64","13","0.29","29","0.64","-","-","23","0.51","3","0.07","-","-","4","0.33","-","-","-","-","1","0.11","-","-","-","-"
"滋賀県","5","0.09","2","","22","0.69","91","2.84","193","6.03","21","0.66","69","2.16","65","2.03","10","0.31","-","-","21","0.66","9","0.28","-","-","4","0.50","-","-","1","0.14","1","0.14","-","-","1","0.14"
"京都府","32","0.26","3","","38","0.52","131","1.79","393","5.38","16","0.22","138","1.89","26","0.36","41","0.56","-","-","6","0.08","22","0.30","-","-","2","0.12","1","0.17","-","-","-","-","-","-","3","0.50"
"大阪府","68","0.22","15","","93","0.47","662","3.31","1362","6.81","94","0.47","592","2.96","120","0.60","138","0.69","4","0.02","43","0.22","57","0.29","1","0.02","22","0.43","-","-","-","-","7","0.41","-","-","5","0.29"
"兵庫県","99","0.50","7","","84","0.65","366","2.84","977","7.57","56","0.43","392","3.04","79","0.61","81","0.63","-","-","29","0.22","49","0.38","-","-","32","0.91","-","-","-","-","2","0.18","-","-","1","0.09"
"奈良県","13","0.24","1","","19","0.56","102","3.00","154","4.53","9","0.26","86","2.53","8","0.24","15","0.44","-","-","4","0.12","2","0.06","-","-","4","0.44","-","-","-","-","-","-","-","-","2","0.33"
"和歌山県","35","0.70","3","","6","0.19","43","1.39","133","4.29","8","0.26","72","2.32","3","0.10","16","0.52","-","-","7","0.23","1","0.03","1","0.25","-","-","-","-","-","-","-","-","-","-","2","0.18"
"鳥取県","24","0.83","-","","11","0.58","145","7.63","115","6.05","-","-","110","5.79","5","0.26","14","0.74","-","-","6","0.32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","1.00"
"島根県","13","0.34","3","","26","1.13","99","4.30","156","6.78","7","0.30","62","2.70","-","-","19","0.83","-","-","1","0.04","3","0.13","-","-","-","-","-","-","1","0.13","2","0.25","-","-","9","1.13"
"岡山県","68","0.81","5","","22","0.41","73","1.35","379","7.02","7","0.13","74","1.37","10","0.19","16","0.30","2","0.04","18","0.33","19","0.35","-","-","2","0.17","-","-","-","-","-","-","-","-","-","-"
"広島県","39","0.34","7","","72","1.00","313","4.35","487","6.76","21","0.29","66","0.92","5","0.07","48","0.67","2","0.03","11","0.15","40","0.56","-","-","14","0.74","-","-","-","-","6","0.29","-","-","7","0.33"
