"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023年09週(02月27日～03月05日)","2023年03月08日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","50235","10.17","1060","0.34","486","0.15","1509","0.48","18753","5.95","203","0.06","206","0.07","21","0.01","650","0.21","118","0.04","94","0.03","9","0.01","129","0.19","12","0.03","10","0.02","7","0.01","1","0.00","9","0.02"
"北海道","2327","10.16","240","1.73","23","0.17","119","0.86","468","3.37","22","0.16","3","0.02","-","-","14","0.10","1","0.01","2","0.01","-","-","3","0.10","-","-","-","-","1","0.04","-","-","-","-"
"青森県","972","15.19","-","-","3","0.07","4","0.10","311","7.40","4","0.10","2","0.05","-","-","12","0.29","-","-","-","-","-","-","1","0.10","-","-","-","-","1","0.17","-","-","-","-"
"岩手県","2102","33.37","31","0.78","3","0.08","62","1.55","240","6.00","1","0.03","-","-","-","-","8","0.20","-","-","1","0.03","-","-","2","0.14","-","-","-","-","-","-","-","-","-","-"
"宮城県","379","3.99","38","0.66","6","0.10","20","0.34","519","8.95","2","0.03","-","-","-","-","22","0.38","-","-","4","0.07","-","-","2","0.17","-","-","-","-","1","0.08","-","-","-","-"
"秋田県","637","12.49","2","0.06","4","0.12","12","0.36","139","4.21","2","0.06","1","0.03","-","-","2","0.06","-","-","-","-","-","-","1","0.14","-","-","-","-","-","-","-","-","-","-"
"山形県","490","11.14","14","0.48","7","0.24","12","0.41","199","6.86","4","0.14","3","0.10","-","-","13","0.45","-","-","3","0.10","-","-","1","0.13","-","-","-","-","-","-","-","-","-","-"
"福島県","520","6.27","44","0.88","7","0.14","28","0.56","296","5.92","2","0.04","-","-","-","-","17","0.34","1","0.02","1","0.02","-","-","7","0.54","-","-","-","-","-","-","-","-","-","-"
"茨城県","969","8.08","13","0.17","7","0.09","17","0.23","295","3.93","4","0.05","7","0.09","-","-","8","0.11","1","0.01","2","0.03","1","0.06","8","0.47","-","-","-","-","-","-","-","-","-","-"
"栃木県","864","11.37","2","0.04","6","0.13","13","0.27","210","4.38","4","0.08","-","-","-","-","12","0.25","-","-","-","-","-","-","2","0.17","-","-","1","0.14","-","-","-","-","1","0.14"
"群馬県","463","5.38","2","0.04","11","0.21","24","0.45","297","5.60","13","0.25","2","0.04","-","-","22","0.42","2","0.04","-","-","-","-","1","0.07","-","-","-","-","-","-","-","-","-","-"
"埼玉県","2722","10.63","27","0.17","24","0.15","54","0.34","893","5.55","18","0.11","3","0.02","1","0.01","45","0.28","-","-","9","0.06","-","-","6","0.15","1","0.09","-","-","-","-","-","-","1","0.09"
"千葉県","1796","8.51","-","-","6","0.05","75","0.57","601","4.59","4","0.03","1","0.01","-","-","17","0.13","2","0.02","6","0.05","-","-","11","0.31","-","-","1","0.11","-","-","-","-","-","-"
"東京都","3436","8.34","15","0.06","30","0.12","93","0.36","1391","5.37","12","0.05","3","0.01","4","0.02","48","0.19","1","0.00","11","0.04","1","0.03","3","0.08","-","-","3","0.12","1","0.04","1","0.04","1","0.04"
"神奈川県","4042","11.35","33","0.14","13","0.06","72","0.31","914","3.99","7","0.03","3","0.01","3","0.01","45","0.20","-","-","5","0.02","1","0.02","19","0.37","-","-","2","0.18","-","-","-","-","-","-"
"新潟県","853","9.80","61","1.09","12","0.21","49","0.88","301","5.38","6","0.11","-","-","1","0.02","6","0.11","-","-","1","0.02","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"富山県","1260","26.25","18","0.62","8","0.28","32","1.10","326","11.24","2","0.07","-","-","-","-","3","0.10","2","0.07","1","0.03","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"石川県","1621","33.77","25","0.86","4","0.14","9","0.31","223","7.69","4","0.14","2","0.07","-","-","5","0.17","-","-","-","-","-","-","2","0.29","-","-","1","0.20","-","-","-","-","-","-"
