"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023年10週(03月06日～03月12日)","2023年03月15日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","54796","11.10","1116","0.35","527","0.17","1633","0.52","18503","5.88","186","0.06","216","0.07","37","0.01","646","0.21","154","0.05","91","0.03","5","0.01","142","0.20","11","0.02","8","0.02","8","0.02","-","-","5","0.01"
"北海道","2955","12.90","249","1.79","26","0.19","110","0.79","401","2.88","16","0.12","5","0.04","1","0.01","13","0.09","3","0.02","2","0.01","-","-","4","0.14","-","-","-","-","1","0.04","-","-","-","-"
"青森県","958","14.97","34","0.81","2","0.05","4","0.10","213","5.07","7","0.17","1","0.02","3","0.07","6","0.14","1","0.02","2","0.05","-","-","-","-","-","-","-","-","3","0.50","-","-","-","-"
"岩手県","1640","26.03","26","0.65","4","0.10","42","1.05","246","6.15","2","0.05","2","0.05","-","-","11","0.28","-","-","3","0.08","-","-","4","0.29","-","-","-","-","1","0.05","-","-","-","-"
"宮城県","388","4.08","13","0.22","5","0.09","20","0.34","597","10.29","5","0.09","3","0.05","1","0.02","12","0.21","-","-","2","0.03","-","-","4","0.33","-","-","1","0.08","1","0.08","-","-","-","-"
"秋田県","664","13.02","4","0.12","3","0.09","12","0.36","112","3.39","6","0.18","-","-","1","0.03","4","0.12","-","-","1","0.03","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"山形県","735","16.70","5","0.17","5","0.17","11","0.38","174","6.00","-","-","-","-","-","-","16","0.55","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"福島県","640","7.71","46","0.92","7","0.14","29","0.58","286","5.72","1","0.02","-","-","1","0.02","19","0.38","-","-","1","0.02","-","-","6","0.46","1","0.14","-","-","-","-","-","-","-","-"
"茨城県","1059","8.83","2","0.03","10","0.13","50","0.67","276","3.68","6","0.08","3","0.04","1","0.01","12","0.16","-","-","3","0.04","-","-","9","0.53","-","-","-","-","-","-","-","-","-","-"
"栃木県","1202","15.82","3","0.06","3","0.06","18","0.38","150","3.13","1","0.02","-","-","-","-","14","0.29","-","-","-","-","-","-","1","0.08","-","-","-","-","-","-","-","-","-","-"
"群馬県","694","8.07","1","0.02","7","0.13","15","0.28","241","4.55","1","0.02","1","0.02","-","-","8","0.15","-","-","2","0.04","-","-","5","0.36","-","-","-","-","-","-","-","-","-","-"
"埼玉県","3389","13.29","28","0.17","29","0.18","45","0.28","885","5.50","14","0.09","5","0.03","5","0.03","32","0.20","2","0.01","7","0.04","1","0.02","7","0.17","-","-","1","0.09","-","-","-","-","1","0.09"
"千葉県","1814","8.60","5","0.04","12","0.09","51","0.39","591","4.51","9","0.07","2","0.02","1","0.01","23","0.18","-","-","1","0.01","1","0.03","7","0.21","-","-","-","-","-","-","-","-","-","-"
"東京都","4286","10.48","26","0.10","42","0.16","103","0.40","1372","5.32","13","0.05","5","0.02","4","0.02","47","0.18","2","0.01","4","0.02","-","-","3","0.08","2","0.08","2","0.08","-","-","-","-","2","0.08"
"神奈川県","4424","12.57","13","0.06","9","0.04","60","0.27","972","4.34","8","0.04","10","0.04","4","0.02","46","0.21","2","0.01","13","0.06","-","-","14","0.28","3","0.27","1","0.09","-","-","-","-","-","-"
"新潟県","1356","15.59","30","0.54","10","0.18","64","1.14","312","5.57","1","0.02","-","-","-","-","12","0.21","1","0.02","2","0.04","-","-","2","0.20","-","-","-","-","-","-","-","-","-","-"
"富山県","1249","26.02","16","0.55","16","0.55","30","1.03","420","14.48","2","0.07","-","-","-","-","7","0.24","-","-","-","-","-","-","1","0.14","-","-","-","-","-","-","-","-","-","-"
"石川県","1204","25.08","15","0.52","12","0.41","13","0.45","237","8.17","2","0.07","1","0.03","-","-","12","0.41","-","-","1","0.03","-","-","3","0.43","-","-","-","-","-","-","-","-","-","-"
