"東京都","3802","11.05","78","","25","0.12","106","0.51","481","2.30","49","0.23","10","0.05","43","0.21","18","0.09","2","0.01","1","0.00","11","0.05","-","-","7","0.23","1","0.04","-","-","1","0.04","-","-","1","0.04"
"神奈川県","2447","10.55","31","","18","0.13","63","0.46","341","2.47","62","0.45","10","0.07","25","0.18","13","0.09","-","-","-","-","8","0.06","-","-","11","0.30","1","0.11","-","-","-","-","-","-","-","-"
"新潟県","661","6.89","54","","45","0.74","85","1.39","116","1.90","37","0.61","3","0.05","8","0.13","9","0.15","-","-","3","0.05","2","0.03","-","-","2","0.20","-","-","-","-","-","-","1","0.08","-","-"
"富山県","404","8.42","24","","12","0.41","29","1.00","106","3.66","14","0.48","2","0.07","1","0.03","6","0.21","-","-","4","0.14","-","-","-","-","1","0.14","-","-","-","-","5","1.00","-","-","-","-"
"石川県","723","15.06","18","","3","0.10","64","2.21","123","4.24","19","0.66","2","0.07","4","0.14","6","0.21","-","-","-","-","-","-","-","-","2","0.29","-","-","-","-","2","0.40","-","-","-","-"
"福井県","765","23.91","11","","3","0.14","18","0.82","216","9.82","20","0.91","7","0.32","1","0.05","6","0.27","-","-","-","-","16","0.73","-","-","-","-","1","0.17","-","-","-","-","-","-","-","-"
"山梨県","543","13.58","10","","-","-","4","0.17","62","2.58","1","0.04","-","-","-","-","2","0.08","-","-","-","-","-","-","-","-","2","0.22","-","-","-","-","1","0.10","-","-","-","-"
"長野県","1919","22.31","67","","4","0.08","33","0.62","147","2.77","26","0.49","3","0.06","4","0.08","4","0.08","-","-","-","-","-","-","-","-","5","0.50","-","-","-","-","8","0.73","-","-","1","0.09"
"岐阜県","3625","42.15","33","","10","0.19","18","0.35","146","2.81","27","0.52","7","0.13","1","0.02","12","0.23","-","-","-","-","4","0.08","-","-","1","0.09","-","-","-","-","1","0.20","-","-","-","-"
"静岡県","2266","16.30","93","","17","0.19","40","0.45","274","3.08","42","0.47","6","0.07","8","0.09","3","0.03","-","-","5","0.06","41","0.46","-","-","-","-","-","-","-","-","-","-","-","-","1","0.10"
"愛知県","5953","30.53","108","","28","0.15","82","0.45","433","2.39","63","0.35","17","0.09","5","0.03","15","0.08","-","-","2","0.01","17","0.09","-","-","-","-","-","-","-","-","1","0.07","-","-","2","0.14"
"三重県","1080","15.00","49","","13","0.29","29","0.64","215","4.78","10","0.22","4","0.09","1","0.02","5","0.11","-","-","3","0.07","5","0.11","-","-","-","-","-","-","-","-","2","0.22","-","-","-","-"
"滋賀県","2334","44.04","35","","2","0.06","16","0.50","96","3.00","25","0.78","5","0.16","-","-","7","0.22","-","-","-","-","14","0.44","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"京都府","3205","26.93","23","","9","0.13","19","0.27","120","1.71","16","0.23","6","0.09","2","0.03","7","0.10","-","-","1","0.01","1","0.01","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"大阪府","5715","18.62","211","","17","0.09","101","0.51","448","2.24","98","0.49","13","0.07","8","0.04","30","0.15","-","-","1","0.01","17","0.09","-","-","5","0.10","-","-","-","-","-","-","-","-","2","0.12"
"兵庫県","2635","13.38","115","","25","0.20","39","0.31","313","2.46","45","0.35","5","0.04","7","0.06","4","0.03","-","-","1","0.01","8","0.06","-","-","3","0.09","-","-","-","-","1","0.08","-","-","1","0.08"
"奈良県","386","7.15","23","","2","0.06","7","0.21","42","1.24","1","0.03","2","0.06","-","-","1","0.03","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","0.33"
"和歌山県","584","11.68","33","","7","0.23","10","0.32","43","1.39","16","0.52","4","0.13","-","-","1","0.03","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.09","-","-","-","-"
"鳥取県","838","28.90","17","","7","0.37","30","1.58","51","2.68","6","0.32","-","-","-","-","3","0.16","-","-","1","0.05","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"島根県","559","14.71","23","","11","0.48","57","2.48","157","6.83","8","0.35","3","0.13","1","0.04","6","0.26","-","-","-","-","3","0.13","-","-","-","-","-","-","-","-","-","-","-","-","1","0.13"
"岡山県","1727","20.56","16","","7","0.13","28","0.52","445","8.24","23","0.43","12","0.22","1","0.02","12","0.22","-","-","-","-","1","0.02","-","-","1","0.08","-","-","-","-","-","-","-","-","-","-"
"広島県","1754","15.25","42","","12","0.17","60","0.83","376","5.22","40","0.56","21","0.29","-","-","11","0.15","-","-","1","0.01","13","0.18","-","-","3","0.16","-","-","2","0.10","-","-","-","-","-","-"
"山口県","825","11.96","68","","7","0.15","40","0.83","338","7.04","64","1.33","8","0.17","-","-","13","0.27","-","-","2","0.04","3","0.06","-","-","-","-","-","-","-","-","1","0.11","-","-","-","-"
"徳島県","906","23.84","94","","9","0.39","16","0.70","254","11.04","18","0.78","1","0.04","-","-","15","0.65","-","-","-","-","1","0.04","-","-","-","-","-","-","-","-","1","0.14","-","-","1","0.14"
"香川県","1862","38.79","57","","8","0.28","45","1.55","105","3.62","15","0.52","8","0.28","1","0.03","5","0.17","-","-","1","0.03","2","0.07","-","-","-","-","-","-","-","-","5","1.00","-","-","1","0.20"
"愛媛県","1373","22.51","43","","6","0.16","36","0.97","231","6.24","31","0.84","20","0.54","2","0.05","10","0.27","1","0.03","1","0.03","4","0.11","-","-","1","0.13","-","-","-","-","-","-","-","-","-","-"
"高知県","1026","21.38","29","","1","0.03","17","0.57","107","3.57","12","0.40","19","0.63","1","0.03","3","0.10","-","-","-","-","8","0.27","-","-","-","-","-","-","-","-","1","0.13","1","0.13","-","-"
"福岡県","8759","44.24","63","","23","0.19","166","1.38","470","3.92","58","0.48","32","0.27","20","0.17","32","0.27","-","-","1","0.01","33","0.28","-","-","9","0.35","1","0.08","-","-","-","-","-","-","-","-"
"佐賀県","654","16.77","13","","7","0.30","11","0.48","42","1.83","13","0.57","11","0.48","1","0.04","3","0.13","-","-","2","0.09","1","0.04","-","-","1","0.25","-","-","-","-","2","0.33","-","-","1","0.17"
"長崎県","2237","31.96","27","","10","0.23","32","0.73","196","4.45","38","0.86","5","0.11","-","-","4","0.09","-","-","-","-","4","0.09","-","-","10","1.25","-","-","-","-","-","-","-","-","11","0.92"
"熊本県","1971","24.64","49","","11","0.22","55","1.10","414","8.28","34","0.68","22","0.44","-","-","17","0.34","-","-","4","0.08","9","0.18","-","-","-","-","-","-","1","0.07","2","0.13","-","-","-","-"
"大分県","1822","31.41","33","","7","0.19","92","2.56","307","8.53","40","1.11","9","0.25","8","0.22","13","0.36","1","0.03","1","0.03","9","0.25","-","-","9","1.80","-","-","-","-","1","0.09","-","-","-","-"
"宮崎県","1504","25.49","17","","13","0.36","23","0.64","256","7.11","28","0.78","2","0.06","-","-","18","0.50","-","-","1","0.03","1","0.03","-","-","6","1.00","-","-","-","-","-","-","-","-","-","-"
"鹿児島県","1006","10.82","25","","25","0.45","61","1.11","480","8.73","77","1.40","25","0.45","4","0.07","11","0.20","2","0.04","-","-","7","0.13","-","-","-","-","-","-","-","-","-","-","-","-","2","0.17"
"沖縄県","2827","48.74","3","","9","0.26","34","1.00","83","2.44","75","2.21","29","0.85","5","0.15","8","0.24","1","0.03","1","0.03","59","1.74","-","-","4","0.40","3","0.43","-","-","2","0.29","-","-","-","-"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
