"石川県","35","0.73","6","","20","0.69","98","3.38","213","7.34","5","0.17","9","0.31","27","0.93","14","0.48","-","-","2","0.07","24","0.83","-","-","-","-","-","-","-","-","-","-","-","-","1","0.20"
"福井県","39","1.22","1","","22","1.00","57","2.59","301","13.68","4","0.18","36","1.64","2","0.09","7","0.32","1","0.05","3","0.14","14","0.64","-","-","-","-","1","0.17","-","-","-","-","-","-","10","1.67"
"山梨県","6","0.15","-","","4","0.17","80","3.33","183","7.63","2","0.08","24","1.00","27","1.13","9","0.38","-","-","-","-","1","0.04","-","-","-","-","-","-","-","-","-","-","-","-","1","0.10"
"長野県","62","0.71","-","","18","0.33","217","4.02","393","7.28","14","0.26","11","0.20","68","1.26","25","0.46","2","0.04","11","0.20","4","0.07","-","-","2","0.18","-","-","1","0.09","8","0.73","-","-","1","0.09"
"岐阜県","17","0.20","-","","49","0.92","97","1.83","241","4.55","6","0.11","22","0.42","44","0.83","27","0.51","1","0.02","60","1.13","2","0.04","-","-","4","0.36","-","-","-","-","2","0.40","-","-","9","1.80"
"静岡県","33","0.24","5","","72","0.81","390","4.38","430","4.83","57","0.64","116","1.30","82","0.92","43","0.48","2","0.02","24","0.27","19","0.21","-","-","3","0.14","-","-","1","0.10","1","0.10","-","-","-","-"
"愛知県","61","0.31","4","","129","0.71","551","3.04","1144","6.32","68","0.38","142","0.78","83","0.46","102","0.56","5","0.03","102","0.56","64","0.35","-","-","3","0.09","-","-","-","-","4","0.29","-","-","13","0.93"
"三重県","28","0.39","-","","49","1.09","130","2.89","254","5.64","27","0.60","103","2.29","31","0.69","35","0.78","-","-","69","1.53","2","0.04","-","-","3","0.25","-","-","2","0.22","3","0.33","-","-","1","0.11"
"滋賀県","7","0.13","-","","27","0.84","88","2.75","218","6.81","34","1.06","77","2.41","89","2.78","15","0.47","-","-","30","0.94","16","0.50","-","-","1","0.13","2","0.29","-","-","3","0.43","-","-","-","-"
"京都府","22","0.18","2","","44","0.59","163","2.20","448","6.05","37","0.50","196","2.65","41","0.55","38","0.51","2","0.03","14","0.19","14","0.19","-","-","13","0.72","-","-","-","-","-","-","-","-","3","0.43"
"大阪府","56","0.18","14","","169","0.85","721","3.61","1473","7.37","85","0.43","658","3.29","166","0.83","121","0.61","6","0.03","65","0.33","72","0.36","-","-","23","0.45","-","-","1","0.06","8","0.47","-","-","8","0.47"
"兵庫県","56","0.28","5","","114","0.90","403","3.17","995","7.83","80","0.63","542","4.27","92","0.72","73","0.57","1","0.01","38","0.30","37","0.29","2","0.06","37","1.06","-","-","-","-","3","0.27","-","-","-","-"
"奈良県","1","0.02","1","","20","0.59","110","3.24","194","5.71","7","0.21","95","2.79","8","0.24","11","0.32","-","-","7","0.21","5","0.15","-","-","5","0.56","-","-","-","-","-","-","-","-","1","0.17"
"和歌山県","16","0.32","4","","11","0.35","37","1.19","147","4.74","7","0.23","93","3.00","5","0.16","17","0.55","1","0.03","6","0.19","3","0.10","-","-","-","-","-","-","1","0.09","1","0.09","-","-","2","0.18"
"鳥取県","23","0.79","2","","12","0.63","149","7.84","135","7.11","3","0.16","81","4.26","4","0.21","12","0.63","1","0.05","2","0.11","-","-","-","-","1","0.33","-","-","-","-","-","-","-","-","5","1.00"
"島根県","6","0.16","5","","30","1.30","65","2.83","165","7.17","10","0.43","53","2.30","3","0.13","21","0.91","-","-","3","0.13","3","0.13","-","-","1","0.33","-","-","-","-","1","0.13","-","-","10","1.25"
"岡山県","46","0.55","3","","22","0.41","114","2.11","417","7.72","10","0.19","88","1.63","10","0.19","21","0.39","-","-","13","0.24","16","0.30","-","-","3","0.25","-","-","-","-","-","-","-","-","1","0.20"
"広島県","47","0.41","2","","91","1.26","331","4.60","482","6.69","33","0.46","99","1.38","17","0.24","42","0.58","1","0.01","9","0.13","60","0.83","1","0.05","8","0.42","-","-","1","0.05","2","0.10","-","-","4","0.19"
"山口県","15","0.22","12","","22","0.47","180","3.83","357","7.60","14","0.30","126","2.68","12","0.26","50","1.06","1","0.02","12","0.26","2","0.04","-","-","2","0.22","-","-","-","-","1","0.11","-","-","-","-"
"徳島県","15","0.39","-","","13","0.57","35","1.52","109","4.74","15","0.65","266","11.57","1","0.04","16","0.70","-","-","4","0.17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.14"
"香川県","17","0.36","-","","28","1.00","60","2.14","126","4.50","9","0.32","192","6.86","7","0.25","25","0.89","-","-","25","0.89","10","0.36","-","-","2","0.40","-","-","2","0.40","1","0.20","-","-","8","1.60"
"愛媛県","36","0.59","5","","11","0.30","219","5.92","357","9.65","15","0.41","61","1.65","13","0.35","24","0.65","1","0.03","49","1.32","15","0.41","-","-","11","1.38","-","-","-","-","-","-","-","-","-","-"
"高知県","3","0.06","12","","6","0.20","80","2.67","133","4.43","14","0.47","60","2.00","2","0.07","22","0.73","-","-","1","0.03","20","0.67","-","-","-","-","-","-","-","-","4","0.50","1","0.13","3","0.38"
"福岡県","106","0.54","30","","119","0.99","577","4.81","1097","9.14","90","0.75","592","4.93","171","1.43","107","0.89","3","0.03","165","1.38","115","0.96","-","-","19","0.73","3","0.20","-","-","-","-","-","-","-","-"
"佐賀県","7","0.18","4","","15","0.65","71","3.09","125","5.43","17","0.74","118","5.13","21","0.91","20","0.87","-","-","2","0.09","34","1.48","-","-","1","0.25","-","-","1","0.17","1","0.17","-","-","-","-"
"長崎県","12","0.17","9","","23","0.52","148","3.36","280","6.36","11","0.25","185","4.20","48","1.09","26","0.59","-","-","12","0.27","45","1.02","-","-","5","0.63","-","-","3","0.25","4","0.33","-","-","1","0.08"
"熊本県","23","0.29","4","","20","0.40","72","1.44","648","12.96","19","0.38","276","5.52","10","0.20","47","0.94","2","0.04","37","0.74","15","0.30","-","-","22","2.44","-","-","-","-","3","0.20","-","-","-","-"
"大分県","26","0.45","1","","12","0.33","93","2.58","612","17.00","60","1.67","156","4.33","60","1.67","21","0.58","-","-","29","0.81","35","0.97","-","-","4","0.80","-","-","1","0.09","2","0.18","-","-","1","0.09"
"宮崎県","54","0.92","1","","30","0.83","149","4.14","443","12.31","28","0.78","67","1.86","3","0.08","46","1.28","-","-","69","1.92","6","0.17","-","-","12","2.00","-","-","-","-","-","-","-","-","7","1.00"
"鹿児島県","153","1.65","15","","62","1.13","282","5.13","620","11.27","13","0.24","188","3.42","55","1.00","31","0.56","3","0.05","54","0.98","15","0.27","-","-","5","0.71","-","-","-","-","-","-","-","-","-","-"
"沖縄県","235","4.05","69","","28","0.82","37","1.09","75","2.21","9","0.26","131","3.85","4","0.12","15","0.44","3","0.09","22","0.65","71","2.09","-","-","1","0.10","1","0.14","3","0.43","1","0.14","-","-","-","-"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
