"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2013年36週(09月02日～09月08日)","2013年09月11日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","百日咳","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","68","0.01","2551","","1674","0.53","2447","0.78","9627","3.06","1531","0.49","12206","3.88","111","0.04","1982","0.63","33","0.01","3629","1.15","657","0.21","8","0.01","520","0.76","6","0.01","38","0.08","151","0.32","14","0.03"
"北海道","-","-","78","","34","0.24","217","1.52","228","1.59","38","0.27","1480","10.35","2","0.01","73","0.51","1","0.01","481","3.36","10","0.07","-","-","3","0.10","-","-","-","-","5","0.22","-","-"
"青森県","-","-","6","","1","0.02","10","0.24","31","0.76","9","0.22","244","5.95","-","-","18","0.44","-","-","156","3.80","16","0.39","-","-","5","0.45","-","-","-","-","5","0.83","-","-"
"岩手県","1","0.02","12","","4","0.10","51","1.28","99","2.48","25","0.63","259","6.48","7","0.18","20","0.50","-","-","123","3.08","21","0.53","-","-","2","0.14","-","-","1","0.05","10","0.53","-","-"
"宮城県","-","-","29","","8","0.14","58","1.00","117","2.02","21","0.36","324","5.59","5","0.09","43","0.74","-","-","115","1.98","13","0.22","-","-","3","0.25","-","-","1","0.08","8","0.67","-","-"
"秋田県","-","-","13","","4","0.12","16","0.47","55","1.62","12","0.35","262","7.71","-","-","12","0.35","-","-","93","2.74","9","0.26","-","-","-","-","-","-","-","-","4","0.50","-","-"
"山形県","-","-","45","","9","0.30","32","1.07","61","2.03","4","0.13","152","5.07","-","-","24","0.80","-","-","73","2.43","9","0.30","-","-","-","-","-","-","-","-","7","0.70","-","-"
"福島県","-","-","40","","5","0.11","40","0.89","64","1.42","21","0.47","247","5.49","1","0.02","28","0.62","-","-","83","1.84","24","0.53","-","-","7","0.58","-","-","1","0.14","5","0.71","-","-"
"茨城県","2","0.02","40","","21","0.28","53","0.71","288","3.84","22","0.29","185","2.47","-","-","30","0.40","-","-","33","0.44","4","0.05","-","-","17","1.00","-","-","1","0.08","1","0.08","-","-"
"栃木県","-","-","26","","10","0.21","23","0.48","60","1.25","19","0.40","152","3.17","-","-","33","0.69","-","-","64","1.33","6","0.13","-","-","4","0.33","-","-","-","-","5","0.71","1","0.14"
"群馬県","-","-","9","","2","0.03","60","1.00","206","3.43","12","0.20","216","3.60","-","-","25","0.42","-","-","65","1.08","14","0.23","1","0.07","14","1.00","-","-","1","0.13","7","0.88","-","-"
"埼玉県","-","-","85","","100","0.63","123","0.78","582","3.68","69","0.44","595","3.77","8","0.05","143","0.91","-","-","102","0.65","41","0.26","1","0.02","25","0.60","-","-","2","0.20","6","0.60","1","0.10"
"千葉県","-","-","64","","53","0.40","147","1.10","339","2.53","43","0.32","485","3.62","8","0.06","68","0.51","2","0.01","79","0.59","26","0.19","-","-","17","0.52","-","-","-","-","1","0.11","4","0.44"
"東京都","2","0.00","212","","140","0.55","202","0.79","773","3.02","112","0.44","732","2.86","8","0.03","202","0.79","1","0.00","228","0.89","58","0.23","1","0.03","20","0.53","2","0.08","4","0.16","4","0.16","-","-"
"神奈川県","-","-","58","","57","0.28","98","0.48","467","2.29","87","0.43","602","2.95","14","0.07","132","0.65","2","0.01","194","0.95","45","0.22","4","0.09","48","1.09","-","-","-","-","3","0.30","1","0.10"
"新潟県","-","-","135","","8","0.13","55","0.90","77","1.26","57","0.93","667","10.93","5","0.08","39","0.64","3","0.05","224","3.67","10","0.16","-","-","3","0.30","-","-","-","-","8","0.62","4","0.31"
"富山県","-","-","11","","13","0.45","27","0.93","99","3.41","27","0.93","139","4.79","21","0.72","20","0.69","-","-","40","1.38","1","0.03","-","-","-","-","-","-","-","-","3","0.60","-","-"
